0.10568,0.014031,0.11845,2.2839,10.769,0.1888,0.095687,0.017293,0.1315,4.1533,39.959,0.19511,0.18652,0.59581,0.77188,19.098,426.97,0.83706,-1
0.1004,0.016987,0.13033,4.7902,51.139,0.19405,0.091081,0.019032,0.13795,3.3503,25.458,0.20127,0.18234,0.44517,0.66721,18.651,416.79,0.73552,-1
0.10464,0.015013,0.12253,2.8647,19.107,0.19165,0.098904,0.01947,0.13954,3.1034,21.92,0.20616,0.18854,0.53343,0.73036,18.87,421.23,0.79753,-1
0.10585,0.021163,0.14547,3.7655,29.143,0.21229,0.097027,0.01514,0.12305,4.3058,43.182,0.18629,0.18107,0.5846,0.76459,18.814,419.82,0.82883,-1
0.10752,0.015175,0.12319,2.5569,13.457,0.19518,0.1012,0.018423,0.13573,5.5079,66.071,0.19759,0.18643,0.51652,0.71869,18.302,401.93,0.78812,-1
0.10755,0.019404,0.1393,3.9431,36.613,0.20692,0.094432,0.018112,0.13458,3.8537,32.225,0.19583,0.18934,0.45648,0.67563,18.686,414.83,0.74392,-1
0.10435,0.016532,0.12858,2.8578,15.401,0.19898,0.095052,0.018856,0.13732,2.6765,15.011,0.20274,0.18342,0.38901,0.62371,18.321,403.41,0.69158,-1
0.10734,0.020175,0.14204,4.4327,42.311,0.20917,0.10108,0.018599,0.13638,3.3602,24.272,0.20185,0.189,0.39015,0.62462,17.536,377.29,0.69635,-1
0.10374,0.018788,0.13707,4.3868,40.754,0.20406,0.099205,0.021639,0.1471,3.8446,32.287,0.20965,0.1806,0.38452,0.6201,17.729,383.49,0.69077,-1
0.10814,0.017308,0.13156,4.2782,40.686,0.19936,0.099653,0.018461,0.13587,2.754,14.155,0.20232,0.18444,0.30817,0.55514,17.091,365.1,0.63284,-1
0.10999,0.013333,0.11547,2.9934,19.243,0.18578,0.095623,0.017422,0.13199,2.4823,13.269,0.19733,0.19192,0.26143,0.5113,16.07,341.22,0.59686,-1
0.10437,0.015859,0.12593,3.0222,22.61,0.19663,0.10049,0.020491,0.14315,5.6632,69.523,0.20497,0.18451,0.24969,0.49969,15.169,310.76,0.58378,-1
0.10481,0.019632,0.14012,5.1969,55.984,0.20384,0.097208,0.01734,0.13168,4.2214,41.658,0.19516,0.1886,0.22521,0.47457,14.534,298.22,0.56577,-1
0.11183,0.018648,0.13656,4.7349,50.405,0.20467,0.097198,0.017506,0.13231,5.3788,66.506,0.19414,0.17737,0.25079,0.50079,14.824,297.96,0.58418,-1
0.10508,0.021191,0.14557,4.0116,34.343,0.21071,0.096696,0.024725,0.15724,6.2733,79.254,0.21776,0.18016,0.18189,0.42648,13.292,252.4,0.516,-1
0.1008,0.014299,0.11958,2.3398,11.007,0.18902,0.096462,0.019285,0.13887,4.5353,44.394,0.20223,0.18099,0.13975,0.37384,11.78,218.59,0.47002,-1
0.10848,0.018535,0.13614,2.5095,13.939,0.2084,0.10105,0.019082,0.13814,3.1581,19.982,0.20346,0.17464,0.15223,0.39016,11.037,192.19,0.48466,-1
0.10661,0.014547,0.12061,4.4369,44.119,0.18786,0.1001,0.018134,0.13466,4.8954,53.367,0.19808,0.17904,0.10375,0.3221,10.207,175.25,0.42146,-1
0.10239,0.020898,0.14456,3.583,26.667,0.21186,0.097031,0.019988,0.14138,2.7878,14.87,0.20646,0.18079,0.098103,0.31321,8.2479,127.03,0.42086,-1
0.10406,0.014023,0.11842,2.191,8.8451,0.18776,0.098947,0.017556,0.1325,2.7697,13.789,0.19826,0.16981,0.055421,0.23542,2.0654,7.4291,0.3521,-1
0.1074,0.021679,0.14724,6.6515,88.409,0.21154,0.097438,0.020943,0.14472,5.5676,66.435,0.20593,0.17415,0.055523,0.23563,1.9497,6.8258,0.35897,-1
0.10591,0.018161,0.13476,3.3977,24.213,0.20366,0.099175,0.022467,0.14989,6.0595,75.626,0.20978,0.17598,0.0482,0.21955,2.0194,7.7744,0.34217,-1
0.1017,0.022814,0.15104,4.0546,32.695,0.21554,0.095143,0.026076,0.16148,5.5028,62.314,0.2219,0.18569,0.050576,0.22489,2.1377,9.7121,0.35446,-1
0.1045,0.018018,0.13423,3.6724,30.125,0.20191,0.098459,0.021963,0.1482,3.8046,32.558,0.21367,0.17678,0.062902,0.2508,2.6129,13.172,0.37527,-1
0.10922,0.021761,0.14752,3.5631,26.47,0.2168,0.10167,0.021234,0.14572,3.4679,26.449,0.2118,0.18693,0.060007,0.24496,2.85,17.555,0.36831,-1
0.10809,0.022057,0.14852,3.9994,34.699,0.2172,0.098116,0.01672,0.1293,3.218,23.23,0.19377,0.18203,0.060609,0.24619,2.2265,8.883,0.37178,-1
0.10703,0.015098,0.12287,2.5249,12.235,0.19318,0.1021,0.01752,0.13236,3.2958,23.126,0.19942,0.17687,0.052646,0.22945,2.2522,8.543,0.35114,-1
0.10467,0.018584,0.13632,4.4956,42.817,0.20276,0.10141,0.016032,0.12662,3.0765,22.984,0.19515,0.17752,0.061918,0.24883,2.2738,8.9434,0.37248,-1
